id,demographics_1,demographics_2,demographics_3,company_1,company_2,company_3,demographics_4,demographics_5,remote_work_time_1,remote_work_time_2,remote_work_time_3,remote_work_time_4,remote_work_time_5,remote_policy_1,split_work_day_1,split_work_day_2,split_work_day_3,remote_policy_2,remote_policy_3,remote_policy_4,remote_policy_5,remote_policy_6,remote_policy_7,remote_policy_8,remote_culture_1,remote_culture_2,remote_culture_3,remote_culture_4,remote_culture_5,remote_culture_6,remote_culture_7,remote_culture_8,remote_culture_9,remote_culture_10,remote_culture_11,remote_culture_12,use_of_time_onsite_1,use_of_time_onsite_2,use_of_time_onsite_3,use_of_time_onsite_4,use_of_time_onsite_5,use_of_time_remote_1,use_of_time_remote_2,use_of_time_remote_3,use_of_time_remote_4,use_of_time_remote_5,compensation_hypothetical_1,compensation_hypothetical_2,barriers_1,barriers_2,barriers_3,barriers_4,barriers_5,barriers_6,barriers_7,barriers_8,barriers_9,barriers_10,barriers_11,barriers_12,barriers_13,barriers_14,barriers_15,barriers_16,remote_personal_behavior_1,remote_personal_behavior_2,remote_personal_behavior_3,remote_management_1,remote_management_2,remote_management_3,remote_management_4,remote_management_5,remote_management_6,remote_management_7,remote_management_8,remote_management_9,remote_management_10,remote_management_11,productivity_1,remote_management_12
1,45,Male,More than 5 years,Other Services,Professionals - ICT Professionals,More than 200,Couple with dependent children,1,50,80,50,80,80,1,1,50,80,Yes,40,1,1,1,1,1,1,1,2,1,1,-1,-1,2,They are about the same,1,1,1,2.0,6.0,1.0,7.0,8.0,0.0,8.0,1.0,7.0,8.0,0,NA,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
2,50,Male,More than 5 years,Construction,Professionals - ICT Professionals,More than 200,Couple with no dependent children,1,10,50,5,50,50,0,1,10,5,Yes,100,0,0,0,1,0,0,0,0,0,0,0,0,-1,They are about the same,0,0,0,1.5,8.0,2.0,6.0,6.5,0.0,10.0,4.0,4.0,6.0,0,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
3,43,Female,Between 6 and 12 months,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Single person,1,100,100,90,90,60,1,0,NA,NA,Yes,20,2,0,-2,0,2,2,2,2,2,2,-2,2,1,Senior leadership,-1,1,2,3.0,8.0,1.0,4.0,8.0,1.0,8.0,2.0,5.0,8.0,1,0.1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
4,59,Female,Between 1 and 5 years,Health Care and Social Assistance,Professionals - Health Professionals,Between 20 and 199,One parent family with dependent children,0,40,40,40,40,40,1,1,40,40,Yes,50,1,1,1,1,0,0,0,1,0,0,-1,-1,-1,They are about the same,1,1,1,1.0,8.0,6.0,3.0,6.0,1.0,8.0,4.0,4.0,7.0,0,NA,1,1,1,0,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,Yes,0,0,0,0,0,0,0,0,0,50,50
5,47,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Couple with dependent children,0,100,100,100,100,100,0,0,NA,NA,No,NA,2,1,2,1,1,1,2,1,1,2,0,1,2,My direct manger(s),1,1,1,5.0,8.0,2.0,3.0,6.0,0.5,9.0,3.0,4.0,8.0,0,NA,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
6,36,Male,Between 1 and 5 years,Manufacturing,Technicians and trades workers - Construction Trades Workers,Between 5 and 19,Couple with dependent children,1,50,40,50,50,50,1,1,70,20,No,NA,1,1,0,1,-1,0,0,-1,0,0,0,0,-1,Senior leadership,0,0,0,3.0,8.0,2.0,3.0,8.0,2.0,8.0,4.0,2.0,8.0,0,NA,0,-1,0,-1,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
7,48,Male,More than 5 years,Public Administration and Safety,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,1,100,100,80,100,100,1,0,NA,NA,Yes,20,1,1,1,1,1,1,1,1,1,1,-1,1,1,They are about the same,0,1,1,2.0,8.0,3.0,3.0,8.0,1.0,8.0,3.0,4.0,8.0,0,NA,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,Yes,0,1,1,1,0,0,1,1,1,10,10
8,29,Female,Between 1 and 5 years,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,Couple with no dependent children,1,100,100,100,100,90,0,0,NA,NA,No,NA,1,1,0,1,1,1,1,1,1,1,-1,1,0,They are about the same,1,1,0,1.5,8.5,0.5,5.5,8.0,0.5,9.0,0.5,5.0,9.0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
9,51,Female,More than 5 years,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,One parent family with dependent children,1,100,100,50,50,50,0,0,NA,NA,Unsure,NA,2,2,1,2,1,0,1,1,1,0,0,1,-1,Senior leadership,1,1,0,1.0,8.0,5.0,2.0,8.0,1.0,7.0,5.0,3.0,8.0,1,0.1,0,0,0,0,2,0,0,-1,0,0,1,1,0,1,1,2,2,1,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-50,NA
10,40,Female,Between 1 and 5 years,Other Services,Professionals - ICT Professionals,More than 200,Couple with no dependent children,1,100,100,90,100,100,1,1,5,5,Unsure,NA,2,1,1,1,1,0,2,2,1,2,0,-1,1,My direct manger(s),0,0,1,1.5,8.0,0.0,7.5,7.0,0.5,8.0,0.0,8.5,7.0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
