barriers_1,barriers_2,barriers_3,barriers_4,barriers_5,barriers_6,barriers_7,barriers_8,barriers_9,barriers_10,barriers_11,barriers_12,barriers_13,barriers_14,barriers_15,barriers_16,id,productivity_1
1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,50
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,50
0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,0
1,1,1,0,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,4,50
0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,5,20
0,-1,0,-1,0,0,0,0,0,-1,0,0,-1,0,-1,0,6,20
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20
0,0,0,0,2,0,0,-1,0,0,1,1,0,1,1,2,9,-50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,50
1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,1,11,50
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,12,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-10
0,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-1,0,0,-1,1,14,-20
1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,15,40
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,16,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50
1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,18,10
1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,19,10
0,-1,-1,0,0,-1,0,0,0,0,-2,1,0,-1,0,1,20,20
1,1,2,1,1,1,1,0,0,1,2,1,1,2,1,1,21,50
2,1,1,1,2,1,2,2,1,2,0,1,1,1,0,0,22,30
-1,0,0,-1,-1,0,0,-1,0,-1,-1,-1,0,0,0,-1,23,30
1,1,0,1,0,1,1,2,0,0,2,2,0,0,0,2,24,50
2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,25,50
0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,26,0
0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,27,30
1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,28,30
2,1,2,2,1,2,2,0,2,1,0,2,2,1,0,2,29,40
0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,30,20
0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,31,0
0,1,1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-2,32,30
-2,-1,-1,-1,0,0,0,0,-2,0,0,-1,-2,-1,-1,-2,33,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,20
1,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,0,0,35,-20
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,36,-10
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,37,50
1,1,1,-2,-2,0,-1,1,-1,-1,1,1,0,1,0,1,38,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,40
2,1,2,1,0,1,2,1,0,1,1,2,1,2,2,1,40,50
0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,41,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
1,0,1,0,0,0,-1,1,0,0,0,1,-1,0,0,1,43,50
0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,44,50
0,-1,0,-2,0,-1,-2,-2,0,-1,1,-2,1,-1,1,-1,45,-20
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,46,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
0,0,-1,-1,-1,0,0,-1,-2,-1,-2,-1,-2,-1,-2,-1,48,30
0,0,0,-1,0,0,0,0,0,0,0,0,-2,0,0,0,49,20
1,0,1,2,0,0,0,0,0,2,2,0,1,0,1,0,50,30
0,0,-1,0,-1,1,0,1,1,0,0,1,-1,1,0,0,51,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,53,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,50
2,1,0,1,2,1,0,1,2,1,0,0,1,0,0,1,55,30
1,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,56,0
2,2,2,1,1,2,2,1,2,1,2,1,2,2,1,2,57,50
1,2,1,0,-2,-1,-2,-1,0,0,0,1,1,2,-1,2,58,30
2,-2,0,-1,-2,0,-1,-2,-1,-2,1,0,-2,-1,-2,-1,59,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,60,0
1,1,2,0,0,0,0,-2,0,0,0,0,0,0,0,0,61,50
